Commodity/Service Code,Keyword Search,Date,Vendor,CL Description,Commodity Description,Quantity,Unit,Unit Cost,Contract Amount
"ITS09","","8/26/2026 15:9:11","DELL MARKETING L P","SW199- MS Visio Pro for O365","Network and Enterprise Systems & Software","0.00000","EA","0.01","0.00"
"ITS09","","8/27/2026 10:27:54","DELL MARKETING L P","SW199- MS Visio Pro for O365","Network and Enterprise Systems & Software","1.00000","EA","0.01","0.00"
"ITS09","","8/26/2026 11:56:57","RICOH USA INC","SW116 Tungsten Power PDF advance","Network and Enterprise Systems & Software","25.00000","EA","79.00","0.00"
"ITS09","","8/28/2026 15:14:15","DELL MARKETING L P","SW229 - Adobe Acrobat Professional DC Subscription","Network and Enterprise Systems & Software","1.00000","EA","0.01","0.00"
"ITS09","","8/28/2026 15:14:51","DELL MARKETING L P","SW232 - Adobe InDesign Creative Cloud Subscription","Network and Enterprise Systems & Software","1.00000","EA","0.01","0.00"
"ITS09","","8/26/2026 14:59:11","DELL MARKETING L P","SW229 - Adobe Acrobat Professional DC Subscription","Network and Enterprise Systems & Software","1.00000","EA","0.01","0.00"
"ITS09","","8/28/2026 15:12:51","DELL MARKETING L P","SW229 - Adobe Acrobat Professional DC Subscription","Network and Enterprise Systems & Software","1.00000","EA","0.01","0.00"
"ITS09","","8/28/2026 15:12:9","DELL MARKETING L P","SW194-Microsoft Power Automate Plan","Network and Enterprise Systems & Software","1.00000","EA","0.01","0.00"
"ITS09","","8/28/2026 15:13:42","DELL MARKETING L P","SW201- Microsoft Azure DevOps Basic","Network and Enterprise Systems & Software","1.00000","EA","0.01","0.00"
"ITS09","","8/28/2026 15:15:37","DELL MARKETING L P","SW229 - Adobe Acrobat Professional DC Subscription","Network and Enterprise Systems & Software","4.00000","EA","0.01","0.00"
